source;target;kind;labels;motivation;I;TTD;criticality
Receiving client orders;Decide OPBW workload distribution;functional;Start-to-Start;After +/- 80% of the order lines are received, OPBW workload distribution can start;4;4;10
Receiving KK layout;Decide OPBW workload distribution;functional;Start-to-Start;After +/- 80% of the KK layouts are received, OPBW workload distribution can start;4;4;10
Arrival of VKs from auction;Print WMS sticker;functional;Finish-to-Start;WMS sticker can only be printed when VK arrives;3;4;9
Print WMS sticker;Scan WMS sticker;functional;Finish-to-Start;WMS sticker can only be scanned when printed;3;4;9
Scan WMS sticker;Check in LE in VK to WMS system;functional;Finish-to-Start;LE's enter Actemium system when WMS sticker is scanned;4;4;10
Check in LE in VK to WMS system;Decide OPBW workload distribution;functional;Finish-to-Start;LE's from VK need to be checked into system to print OK/BK stickers;4;4;10
Decide OPBW workload distribution;Print OK/BK sticker;functional;Finish-to-Start;OK/BK sticker can only be printed if workload distribution is known and thus VK has arrived and its LE's are checked-in;4;4;10
Print OK/BK sticker;Distribute OK/BK sticker and LE;functional;Finish-to-Start;OK/BK stickers need to be printed to distribute LE's from VK to OK;3;4;9
Distribute OK/BK sticker and LE;Move OKs to OPBW;functional;Finish-to-Start;OK/BK need to be in OK to be able to move OK to OPBW;3;2;6
Scan WMS sticker;Receiving client orders;functional;Disable;When the WMS sticker is scanned, no new client order lines can be received;1;1;2.5
Scan WMS sticker;Receiving KK layout;functional;Disable;When the WMS sticker is scanned, no new KK layout can be received;1;1;2.5
Move OKs to OPBW;Check-in of OK at OPBW;functional;Finish-to-Start;The OK needs to arrive at the OPBW to be checked-in;3;3;7.5
Check-in of OK at OPBW;Move KK from STOR to OPBW queue;functional;Start-to-Start;KK is only sent when enough OKs are present at the OPBW;3;2;6
Move KK from STOR to OPBW queue;Move first KK from queue to OPBW;functional;Start-to-Start;The first KK in line is moved to the OPBW building spot to start building;4;3;8.5
Move first KK from queue to OPBW;Receive sorting instructions;functional;Finish-to-Start;Sorting instructions can only be received if the KK has arrived at the OPBW building spot;4;4;10
Receive sorting instructions;Scan LE in OK;functional;Finish-to-Start;When the sorting instructions arrive, the first LE can be scanned;4;4;10
Scan LE in OK;Move LE from OK to KK;functional;Finish-to-Start;When the LE is scanned, the LE can be moved from OK to the KK;4;4;10
Move LE from OK to KK;Scan KK to confirm;functional;Finish-to-Start;When the LE is moved, the KK needs to be scanned to confirm;4;4;10
Scan KK to confirm;Determine KK done at SF-OPBW;functional;Finish-to-Start;When the KK is scanned for moving the last LE, the KK is done at this OPBW and the SF-OPBW confirms this if the KK is scanned to confirm;3;3;7.5
Determine KK done at SF-OPBW;Move (un)finished KK to STOR;functional;Finish-to-Start;When KK is done at OPBW, it is always moved to storage or other OPBW;3;2;6
Move (un)finished KK to STOR;Determine KK ready by KK is ready algorithm;functional;Finish-to-Start;When KK is moved to STOR, Algorithm decides if KK is fully done and can go to EXCH;2;1;3.5
Check-in of OK at OPBW;Check-out of OK at OPBW;functional;Finish-to-Start;OK needs to be checked in before it can be checked out;3;2;6
Determine KK ready by KK is ready algorithm;Move finished KK to EXCH;functional;Finish-to-Start;When KK is determined ready, it is moved to EXCH;3;2;6
Move finished KK to EXCH;Decouple finished KK;functional;Finish-to-Start;When KK is at EXCH, it is decoupled from the WMS;3;2;6
Determine KK ready by KK is ready algorithm;Determine KK unready by KK is ready algorithm;functional;Finish-to-Start;When KK was ready but order is added to KK, it is again unready;2;1;3.5
Arrival of empty KKs;Scan incoming KK to check it in;functional;Finish-to-Start;When empty KKs arrive they are manually scanned into the WMS;2;2;5
Scan incoming KK to check it in;Move checked-in KKs to STOR;functional;Finish-to-Start;When empty KKs are scanned into WMS, job can be made to move them to STOR;2;2;5
Distribute OK/BK sticker and LE;Handling exceptions such as big plants;functional;Start-to-Start;Exception handling can start when the distribution of LEs starts;2;3;6.5
Decide OPBW workload distribution;Merging stations when there are less orders;functional;Start-to-Start;The workload of several stations is merged into less stations to promote efficiency;1;1;2.5
Move LE from OK to KK;"Indikken" of OKs;functional;Finish-to-Start;"Indikken" can happen when multiple LEs have been removed from an OK;1;1;2.5
Move LE from OK to KK;Adding LEs to a new KK when KK has insufficient space;functional;Finish-to-Start;If sizes differ or the data is wrong, not all LEs assigned to a KK might fit on the KK;3;4;9
Receiving client orders;Florisoft;functional;Data Transfer;Florisoft sends the client orders to the system;4;4;10
Receiving client orders;Host Communicator;functional;Data Transfer;Host Communicator receives the client data from Florisoft and sends it to the Database;4;4;10
Receiving client orders;Real-Time Database;functional;Data Write;The Database receives the client data from Florisoft via the Host Communicator;4;4;10
Receiving client orders;SF-RCVG;functional;Visualisation;SF-RCVG client displays the received client orders on the SF-RCVG Screen;4;2;7
Receiving KK layout;Florisoft;functional;Data Transfer;Florisoft sends the KK layouts to the system;4;4;10
Receiving KK layout;Host Communicator;functional;Data Transfer;Host Communicator receives the KK layouts from Florisoft and sends it to the Database;4;4;10
Receiving KK layout;Real-Time Database;functional;Data Write;The Database receives the KK layouts from Florisoft via the Host Communicator;4;4;10
Receiving KK layout;SF-RCVG;functional;Visualisation;SF-RCVG client displays the received KK layouts on the SF-RCVG Screen;4;2;7
Decide OPBW workload distribution;Host Communicator;functional;Notification;Host Communicator notifies Customer Allocation Management Algorithm that an order has been processed;3;2;6
Decide OPBW workload distribution;Actemium Data Notifier;functional;Notification;Host Communicator sends data notification "OrderProcessed" to Customer Allocation Management Algorithm via Data Notifier;2;2;5
