name;kind
Receiving client orders;process
Receiving KK layout;process
Decide OPBW workload distribution;process
Arrival of VKs from auction;process
Print WMS sticker;process
Scan WMS sticker;process
Check in LE in VK to WMS system;process
Print OK/BK sticker;process
Distribute OK/BK sticker and LE;process
Move OKs to OPBW;process
Check-in of OK at OPBW;process
Move KK from STOR to OPBW queue;process
Move first KK from queue to OPBW;process
Receive sorting instructions;process
Scan LE in OK;process
Move LE from OK to KK;process
Scan KK to confirm;process
Determine KK done at SF-OPBW;process
Determine KK ready by KK is ready algorithm;process
Determine KK unready by KK is ready algorithm;process
Move (un)finished KK to STOR;process
Move finished KK to EXCH;process
Decouple finished KK;process
Arrival of empty KKs;process
Scan incoming KK to check it in;process
Move checked-in KKs to STOR;process
Real-Time Database;software
Historical Database;software
Alarms Database;software
Mobile Screens;software
SF-RCVG;software
SF-OPBW;software
Maintenance Service;software
Host Communicator;software
Actemium Service Manager;software
Actemium Alarms Manager;software
WMS/WCS API & BarcodeHandler API;software
Actemium Lowpad Communicator;software
Actemium Data Notifier;software
Fleet Manager;software
Nicelabel Server;software
Florisoft;software
Host Integration;software
Management Screens;software
Job Creator;software
Job Dispatcher;software
Job Watcher;software
Customer Allocation Management Algorithm;software
KK is Ready Algorithm;software
KK (OutputCart);hardware
VK (InputCart);hardware
OK (StorageCart);hardware
Lowpads (robots);hardware
EXCH (Output Positions / Checking System);hardware
Mobile Terminal;hardware
RCVG (Input Positions);hardware
Label Printer (RCVG);hardware
FingerScanner (RCVG);hardware
SF-RCVG Screen;hardware
OPBW Sorting Positions;hardware
OPBW queue;hardware
SF-OPBW Screen;hardware
Label Printer (OPBW);hardware
FingerScanner (OPBW);hardware
LE (Logistical Units BK/BG/OK/KoV);hardware
Sorting employee;hardware
